med_name,med_manufacturer,components,comp
RABIFLOW 20MG TABLET ,LINO MORGEN PHARMA ,Rabeprazole 20 MG,
RABIEDGE 20MG TABLET ,CALIGEN LABS PVT LTD ,Rabeprazole 20 MG,
RABIZORB 20MG TABLET ,GODDRES PHARMA ,Rabeprazole 20 MG,
RABISTAL 20MG TABLET ,NOVOSTART LIFE SCIENCES ,Rabeprazole 20 MG,
RABINIR 20MG TABLET ,CELEBRITY BIOPHARMA LTD ,Rabeprazole 20 MG,
RABIPOL 20MG TABLET ,POLLEN HEALTHCURE PVT LTD ,Rabeprazole 20 MG,
RABILAS 20MG TABLET ,ESTRELLAS LIFESCIENCES ,Rabeprazole 20 MG,
RABIKEM 20MG TABLET ,SHRINIVAS LAB ,Rabeprazole 20 MG,
RABIFORD 20MG TABLET ,HINIKAM DRUGS AND PHARMA ,Rabeprazole 20 MG,
RABIZOR 20MG TABLET ,PHYSIC PHARMA ,Rabeprazole 20 MG,
RABILEX 20MG TABLET ,LEXUS ORGANIC ,Rabeprazole 20 MG,
RABIVIR 20MG TABLET ,VIRGO HEALTHCARE ,Rabeprazole 20 MG,
RABILIFE 20MG TABLET ,PEELIFE PHARMA ,Rabeprazole 20 MG,
RABIALL 20MG TABLET ,ALLCARE BIOTECH ,Rabeprazole 20 MG,
RABIZAN 20MG TABLET ,ZANEKA HEALTHCARE ,Rabeprazole 20 MG,
 RABIZON 20MG TABLET ,SATYAM LIFE SCIENCES ,Rabeprazole 20 MG,
RABIDOR 20MG TABLET ,TRIVENI FORMULATIONS ,Rabeprazole 20 MG,
RABITRACK 20MG TABLET ,JAGSAM PHARMA ,Rabeprazole 20 MG,
RABIZEM 20MG TABLET ,AZILLIAN HEALTHCARE ,Rabeprazole 20 MG,
RABIGO 20MG CAPSULE ,WILSHIRE PHARMACEUTICALS INC ,Rabeprazole 20 MG,
RABITAC 20MG TABLET ,SURYA PHARMA ,Rabeprazole 20 MG,
RABIQ 20MG TABLET ,QUE PHARMA ,Rabeprazole 20 MG,
RABICA 20MG TABLET ,INDICA ,Rabeprazole 20 MG,
RABIKON 20MG TABLET ,KONTEST CHEMICALS ,Rabeprazole 20 MG,
RABIGUT 20MG TABLET ,SHREYA LIFE SCIENCES PVT LTD ,Rabeprazole 20 MG,
RABIGEM 20MG TABLET ,ST MORISON ,Rabeprazole 20 MG,
RABIALFA 20MG TABLET ,ALNICHE LIFE SCIENCES ,Rabeprazole 20 MG,
RABISTAN 20MG TABLET ,STANFORD BIOTECH PVT LTD ,Rabeprazole 20 MG,
RABIVEST 20MG TABLET ,VESTAL HEALTHCARE ,Rabeprazole 20 MG,
RABIPUMP 20MG TABLET ,HITECH PHARMA ,Rabeprazole 20 MG,
RABIFIN 20MG TABLET ,IND SWIFT LIMITED ,Rabeprazole 20 MG,
RABILECT 20MG TABLET ,INTELLECT LIFE SCIENCES PVT LTD ,Rabeprazole 20 MG,
RABIET 20MG TABLET ,J B CHEMICALS ,Rabeprazole 20 MG,
RABIRAP 20MG TABLET ,CADELL HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
RABIJOY 20MG CAPSULE ,BJ HEALTHCARE ,Rabeprazole 20 MG,
 RABIKUL 20MG TABLET ,XIEON LIFE SCIENCES ,Rabeprazole 20 MG,
RABIPRAZ 20MG TABLET ,COXSWAIN HEALTH CARE ,Rabeprazole 20 MG,
RABICY 20MG TABLET ,BSA PHARMA INC ,Rabeprazole 20 MG,
RABINOL 20MG TABLET ,KNOLL HEALTHCARE ,Rabeprazole 20 MG,
RABIGAL 20MG TABLET ,GALPHA LABORATORIES ,Rabeprazole 20 MG,
RABIHEALTH 20MG TABLET ,SWEDE INDIA HEALTHCARE ,Rabeprazole 20 MG,
RABIPAN 20MG TABLET ,SARTHI ,Rabeprazole 20 MG,
RABLET 20MG TABLET ,LUPIN LTD ,Rabeprazole 20 MG,
RABLESS 20MG TABLET ,MEDIBLESS PHARMA ,Rabeprazole 20 MG,
RABLER 20MG TABLET ,MEDLER PHARMA ,Rabeprazole 20 MG,
RABMAX 20MG TABLET ,MAX PHARMA ,Rabeprazole 20 MG,
RABMIC 20MG TABLET ,OLAMIC HEALTHCARE ,Rabeprazole 20 MG,
RABNOR 20MG TABLET ,MED MANOR ORGANICS ,Rabeprazole 20 MG,
RABNOL 20MG TABLET ,NOEL PHARMA ,Rabeprazole 20 MG,
RABNOZ 20MG TABLET ,PARENTERAL DRUGS INDIA LTD ,Rabeprazole 20 MG,
RABNEXT 20MG TABLET ,GODDRES PHARMA ,Rabeprazole 20 MG,
RABONIK 20MG TABLET ,ERIS LIFE SCIENCES ,Rabeprazole 20 MG,
RABOCID 20MG TABLET ,LEO STAR HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
RABON 20MG TABLET ,NIPRO INDIA CORPORATION PVT LTD ,Rabeprazole 20 MG,
RABOSEC 20MG TABLET ,MISSION CURE PHARMA ,Rabeprazole 20 MG,
 RABOP 20MG TABLET ,MEDIQUEST PHARMA ,Rabeprazole 20 MG,
RABONEX 20MG TABLET ,UNIBIOTECH FORMULATIONS ,Rabeprazole 20 MG,
RABOZ 20MG TABLET ,ANDIC LIFESCIENCES PVT LTD ,Rabeprazole 20 MG,
RABOLCER 20MG TABLET ,QUINTOS PHARMA ,Rabeprazole 20 MG,
RABOL 20MG TABLET ,GUFIC BIOSCIENCES LTD ,Rabeprazole 20 MG,
RABOPEP 20MG TABLET ,SEAGUL ,Rabeprazole 20 MG,
RABONU 20MG TABLET ,NUDRUG PHARMA ,Rabeprazole 20 MG,
RABOT 20MG TABLET ,KINEDEX HEALTHCARE ,Rabeprazole 20 MG,
RABOVEN 20MG TABLET ,LORSIVEN PHARMA ,Rabeprazole 20 MG,
RABPRAZ 20MG TABLET ,NEOSUN BIOTECH ,Rabeprazole 20 MG,
RABPRIDE 20MG TABLET ,BION ,Rabeprazole 20 MG,
RABPAD 20MG TABLET ,AGRON REMEDIES ,Rabeprazole 20 MG,
RABRITON 20MG TABLET ,ELBRIT LIFE SCIENCES ,Rabeprazole 20 MG,
RABRIS 20MG TABLET ,ZYRIS DERMA CARE PVT LTD ,Rabeprazole 20 MG,
RABRAL 20MG TABLET ,LIFECARE ,Rabeprazole 20 MG,
RABRIK 20MG TABLET ,LANARK LAB ,Rabeprazole 20 MG,
RABRAX 20MG TABLET ,ZEE LABORATORIES LTD ,Rabeprazole 20 MG,
RABSURE 20MG TABLET ,SERVO HEALTH CARE ,Rabeprazole 20 MG,
RABSI 20MG TABLET ,BEULAH BIOMEDICS ,Rabeprazole 20 MG,
RABSAR 20MG TABLET ,ELIVIA LIFE SCIENCES ,Rabeprazole 20 MG,
 RABSIG 20MG TABLET ,SIGNOVA PHARMA ,Rabeprazole 20 MG,
RABTUNE 20MG TABLET ,FOUNTIL LIFE SCIENCES PVT LTD ,Rabeprazole 20 MG,
RABTUNE D 40MG CAPSULE ,FOUNTIL LIFE SCIENCES PVT LTD ,Rabeprazole 20 MG,
RABTAB 20MG TABLET ,CIAN HEALTH CARE ,Rabeprazole 20 MG,
RABTIC 20MG TABLET ,DELCURE LIFESCIENCES LTD ,Rabeprazole 20 MG,
RABTAR 20MG TABLET ,CAPITAL PHARMA ,Rabeprazole 20 MG,
RABTAC 20MG TABLET ,SUNDYOTA NUMANDIS PHARMA ,Rabeprazole 20 MG,
RABULCER 20MG TABLET ,TTK ,Rabeprazole 20 MG,
RABVIKA 20MG TABLET ,SAANVIKA PHARMA ,Rabeprazole 20 MG,
RABVEE 20MG TABLET ,AAR VEE PHARMACEUTICALS ,Rabeprazole 20 MG,
RABWISE 20MG TABLET ,CANDRIKA PHARMA ,Rabeprazole 20 MG,
RABY 20MG TABLET ,POSITIF LIFESCIENCES ,Rabeprazole 20 MG,
RABZER 20MG TABLET ,WALLACE ,Rabeprazole 20 MG,
RABZEP 20MG TABLET ,RUV PHARMA ,Rabeprazole 20 MG,
RABZOL 20MG TABLET ,WEST COAST PHARMA ,Rabeprazole 20 MG,
RABZO 20MG TABLET ,ALPIC BIOTECH ,Rabeprazole 20 MG,
RAB 20MG TABLET ,KHANDELWAL LABORATORIES PVT LTD ,Rabeprazole 20 MG,
RAB GM 20MG TABLET ,RKM HEALTH CARE ,Rabeprazole 20 MG,
RACER 20MG TABLET ,UNISERVE HEALTH CARE ,Rabeprazole 20 MG,
RACIFREE 20MG TABLET ,KAMRON LABORATORIES ,Rabeprazole 20 MG,
 RADOROSS 20MG TABLET ,EMAMI FRANK ROSS LTD ,Rabeprazole 20 MG,
RAFRON 20MG TABLET ,SAFFRON THERAPEUTICS PVT LTD ,Rabeprazole 20 MG,
RAGER TABLET ,AYURLIFE REMEDIES ,Rabeprazole 20 MG,
RAGIZ 20MG TABLET ,ZYBAX PHARMA ,Rabeprazole 20 MG,
RAGIT 20MG TABLET ,MAN COP REMEDIES ,Rabeprazole 20 MG,
RAIVER 20MG TABLET ,FINEVISION PHARMA ,Rabeprazole 20 MG,
RALE 20MG TABLET ,GREEN CROSS REMEDIES ,Rabeprazole 20 MG,
RALIZ 20MG TABLET ,LIA LIFE SCIENCES PVT LTD ,Rabeprazole 20 MG,
RALZEN 20MG TABLET ,ZENITH HEALTH CARE LTD ,Rabeprazole 20 MG,
RANZO 20MG TABLET ,KENN PHARMA ,Rabeprazole 20 MG,
RAPEED 20MG TABLET ,ALKEM LABORATORIES LTD ,Rabeprazole 20 MG,
RAPIZOLE 20MG TABLET ,ASTORION PHARMA ,Rabeprazole 20 MG,
RAPID 20MG TABLET ,MEXICAN WAVE PHARMA ,Rabeprazole 20 MG,
RAPIZ TABLET ,INTAS PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
RAPO 20MG TABLET ,APOSTLE REMEDIES ,Rabeprazole 20 MG,
RAPPIN 20MG TABLET ,ALRED HEALTH CARE ,Rabeprazole 20 MG,
RAPPI 20MG TABLET ,MERRIL PHARMA ,Rabeprazole 20 MG,
RAPROZ SR CAPSULE ,ARETAEUS PHARMA ,Rabeprazole 20 MG,
RAPROZ TABLET ,ARETAEUS PHARMA ,Rabeprazole 20 MG,
RAPRO 20MG TABLET ,SOFI HEALTHCARE LLP ,Rabeprazole 20 MG,
 RAPTAC 20MG TABLET ,RAPROSS ,Rabeprazole 20 MG,
RAVER 20MG TABLET ,BIOMAX BIOTECHNICS ,Rabeprazole 20 MG,
RAVIER 20MG TABLET ,EMENOX HEALTHCARE ,Rabeprazole 20 MG,
RAVOZ 20MG TABLET ,VASU ORGANICS ,Rabeprazole 20 MG,
RAXEN TABLET ,XENO PHARMACIST ,Rabeprazole 20 MG,
RAZBERG 20MG TABLET ,AUFTRITT HEALTHCARE ,Rabeprazole 20 MG,
RAZEHIL 20MG TABLET ,HEAL INDIA LABORATORIES ,Rabeprazole 20 MG,
RAZEP 20MG TABLET ,INTRA LABS ,Rabeprazole 20 MG,
RAZEVO 20MG TABLET ,VASU ORGANICS ,Rabeprazole 20 MG,
RAZIUM 20MG TABLET ,TRUMAC HEALTHCARE ,Rabeprazole 20 MG,
RAZO 20MG TABLET ,DR REDDYS LABORATORIES LTD ,Rabeprazole 20 MG,
RAZO EC 20MG CAPSULE ,DR REDDYS LABORATORIES LTD ,Rabeprazole 20 MG,
RAZO EASY SACHET ,DR REDDYS LABORATORIES LTD ,Rabeprazole 20 MG,
RAZOREST 20MG TABLET ,STARUS PHARMACEUTICALS ,Rabeprazole 20 MG,
RAZOL 20MG TABLET ,ACME PHARMA ,Rabeprazole 20 MG,
RAZOSEC 20MG TABLET ,NECTAR BIOPHARMA PVT LTD ,Rabeprazole 20 MG,
RAZOTAS 20MG TABLET ,MISSION LAB ,Rabeprazole 20 MG,
RAZODENT 20MG TABLET ,INDOCO REMEDIES LTD ,Rabeprazole 20 MG,
RAZOGARD 20MG TABLET ,INDOCO REMEDIES LTD ,Rabeprazole 20 MG,
RAZONIC 20MG TABLET ,ICON LIFE SCIENCES ,Rabeprazole 20 MG,
 RAZOLVIA 20MG TABLET ,ZYNOVIA LIFECARE ,Rabeprazole 20 MG,
RAZ 20MG TABLET ,SAIN MEDICAMENTS PVT LTD ,Rabeprazole 20 MG,
RBEAT 20MG TABLET ,BEATS INDIA ,Rabeprazole 20 MG,
RBP 20MG TABLET ,LARION LIFE ,Rabeprazole 20 MG,
RBR 20MG TABLET ,WELL CARE ,Rabeprazole 20 MG,
RBSON 20MG CAPSULE ,UNISON ,Rabeprazole 20 MG,
RBSYS 20MG TABLET ,MACSYS LIFESCIENCES ,Rabeprazole 20 MG,
RBTAS 20MG TABLET ,LUPITAS PHARMA ,Rabeprazole 20 MG,
RBZOLE 20MG TABLET ,SHALMAN ,Rabeprazole 20 MG,
RBZ 20MG TABLET ,MARK REMEDIES PVT LTD ,Rabeprazole 20 MG,
RB 20MG TABLET ,ZYLONE HEALTH CARE ,Rabeprazole 20 MG,
RB CARE 20MG TABLET ,ZEE LABORATORIES LTD ,Rabeprazole 20 MG,
RCUT 20MG TABLET ,CMR LIFE SCIENCES ,Rabeprazole 20 MG,
REBAZ 20MG TABLET ,INDCHEMIE HEALTH SPECIALITIES ,Rabeprazole 20 MG,
REBAR 20MG TABLET ,RELICON PHARMA ,Rabeprazole 20 MG,
REBEN 20MG TABLET ,JARUN PHARMA ,Rabeprazole 20 MG,
REBEZ 20MG TABLET ,EMCURE PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
REBILEX 20MG TABLET ,LEXUS ORGANIC ,Rabeprazole 20 MG,
REBINORM 20MG TABLET ,ACTO PHARMA ,Rabeprazole 20 MG,
REBOL 20 TABLET ,IMED HEALTHCARE ,Rabeprazole 20 MG,
 REBOZEN 20MG TABLET ,LEEFORD HEALTHCARE ,Rabeprazole 20 MG,
REBOCARE 20MG TABLET ,4 CARE LIFE SCIENCES ,Rabeprazole 20 MG,
REBORI 20MG TABLET ,ORISON PHARMA ,Rabeprazole 20 MG,
REJUPRO TABLET ,REJOICE HEALTHCARE ,Rabeprazole 20 MG,
REKOOL 20MG TABLET ,ALEMBIC PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
REMEM 20MG TABLET ,ANIKEM LABORATORIES ,Rabeprazole 20 MG,
RENVORAB 20 TABLET ,LEEFORD HEALTHCARE ,Rabeprazole 20 MG,
REOL 20MG TABLET ,OLCARE LABORATORIES ,Rabeprazole 20 MG,
REPSIA 20MG TABLET ,INDI PHARMA ,Rabeprazole 20 MG,
REPTIC 20MG TABLET ,LEE HEALTH DOMAIN PVT LTD ,Rabeprazole 20 MG,
REPZ 20MG TABLET ,NOSTRUM PHARMACEUTICALS ,Rabeprazole 20 MG,
REVAZO TABLET ,GENERAL ,Rabeprazole 20 MG,
REVOZ 20MG TABLET ,REVAETAA PHARMA ,Rabeprazole 20 MG,
REXO 20MG TABLET ,AXIS FORMULATION ,Rabeprazole 20 MG,
REZLOVE 20MG TABLET ,ATHENS LAB ,Rabeprazole 20 MG,
REZOL 20MG TABLET ,SKN ORGANICS ,Rabeprazole 20 MG,
REZOLE 20MG TABLET ,RITZ PHARMA ,Rabeprazole 20 MG,
RIPRA 20MG TABLET ,OCHOA LABS ,Rabeprazole 20 MG,
RITZ 20MG TABLET ,DYNAMED PHARMA ,Rabeprazole 20 MG,
RIVE 20MG TABLET ,ALCON LABORATORIES INDIA PVT LTD ,Rabeprazole 20 MG,
 RKING 20MG TABLET ,LUREX HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
ROBEZOLE 20MG TABLET ,MORACEAE PHARMA ,Rabeprazole 20 MG,
ROBIN 20MG TABLET ,MINI PHARMACEUTICALS ,Rabeprazole 20 MG,
ROBILINK 20MG CAPSULE ,LINCOLN PHARMACEUTICALS ,Rabeprazole 20 MG,
ROBO 20MG TABLET ,TRIO PHARMACUITICALS ,Rabeprazole 20 MG,
ROJ OD 20MG TABLET ,PANACEA BIOTEC ,Rabeprazole 20 MG,
ROLANT 20MG TABLET ,ANTUS PHARMACEUTICAL ,Rabeprazole 20 MG,
ROLES 20MG CAPSULE ,SUN PHARMACEUTICAL INDUSTRIES LTD ,Rabeprazole 20 MG,
ROLES SF TABLET ,RANBAXY ,Rabeprazole 20 MG,
ROMAC 20MG TABLET ,SUMAC PHARMA PVT LTD ,Rabeprazole 20 MG,
ROMBIPRA 20MG TABLET ,RHOMBUS PHARMA PVT LTD ,Rabeprazole 20 MG,
ROPEZ 20MG TABLET ,LAKSUN LIFESCIENCES ,Rabeprazole 20 MG,
ROPINOV 20MG TABLET ,HARMONY LIFESCIENCE ,Rabeprazole 20 MG,
ROPRAZ 20MG TABLET ,RANBAXY ,Rabeprazole 20 MG,
ROSEMED 20MG TABLET ,SAT PHARMA ,Rabeprazole 20 MG,
ROZRAB 20MG TABLET ,AEON PHARMA ,Rabeprazole 20 MG,
RPEE 20MG CAPSULE ,BONITAS ,Rabeprazole 20 MG,
RPRAZ 20MG TABLET ,RND LABORATORIES PVT LTD ,Rabeprazole 20 MG,
RPZOL 20MG TABLET ,MEDAURE HEALTH CARE ,Rabeprazole 20 MG,
RPZ 20MG TABLET ,NODYSIS PHARMA ,Rabeprazole 20 MG,
 RUBIMAC 20MG TABLET ,MAXWEL LABS ,Rabeprazole 20 MG,
RUBY 20MG TABLET ,NEON ,Rabeprazole 20 MG,
RUBYZOL FR TABLET ,SOLITAIRE PHARMACIA PVT LTD ,Rabeprazole 20 MG,
RULCER 20MG TABLET ,EMAR HEALTH CARE ,Rabeprazole 20 MG,
RUTO 20MG TABLET ,SATURN FORMULATIONS ,Rabeprazole 20 MG,
R CID 20MG TABLET ,ABBOTT ,Rabeprazole 20 MG,
R JET 20MG TABLET ,MEXATO PHARMA ,Rabeprazole 20 MG,
R OD TABLET ,SHRRISHTI HEALTHCARE ,Rabeprazole 20 MG,
R SAFE 20MG TABLET ,INNOKON LABORATORIES ,Rabeprazole 20 MG,
SHARAZ 20MG TABLET ,BIOVITAMINS PVT LTD ,Rabeprazole 20 MG,
SHINORAB 20MG TABLET ,SHINE ,Rabeprazole 20 MG,
SIRAB 20MG TABLET ,SVIZERA HEALTHCARE ,Rabeprazole 20 MG,
SISRAB 20MG TABLET ,SISSMA LIFESCIENCES PVT LTD ,Rabeprazole 20 MG,
SMILY 20MG TABLET ,GENFO BIOCEUTICALS PVT LTD ,Rabeprazole 20 MG,
SNORAB 20MG TABLET ,SNOMED PHARMACEUTICALS PVT LTD ,Rabeprazole 20 MG,
SNURAB 20MG TABLET ,SNU BIOCARE ,Rabeprazole 20 MG,
SONIRAB 20MG TABLET ,ZYDUS HEALTHCARE LTD ,Rabeprazole 20 MG,
SPIRORAB 20MG TABLET ,HARRISONS FORMULATION P LTD ,Rabeprazole 20 MG,
STANRAB 20MG TABLET ,STEDMAN PHARMA ,Rabeprazole 20 MG,
STAYCOOL 20MG TABLET ,GENESIS BIOTECH ,Rabeprazole 20 MG,
 STELORAB 20MG TABLET ,STELIOS PHARMACEUTICALS LLP ,Rabeprazole 20 MG,
STERAB 20MG TABLET ,BIONOVA LIFESCIENCES ,Rabeprazole 20 MG,
STOMECK 20MG TABLET ,BIOMIICRON PHARMA ,Rabeprazole 20 MG,
STROVO 20MG TABLET ,DR JOHNS LABS ,Rabeprazole 20 MG,
SUPARAB 20MG TABLET ,GERRYSUN PHARMA ,Rabeprazole 20 MG,
SUPERIA 20MG TABLET ,SUN PHARMACEUTICAL INDUSTRIES LTD ,Rabeprazole 20 MG,
SUPRANET 20MG TABLET ,BURNET PHARMA ,Rabeprazole 20 MG,
TYROB 20MG TABLET ,MANKIND ,Rabeprazole 20 MG,
T RAB 20MG TABLET ,TETRAMED BIOTEK PVT LTD ,Rabeprazole 20 MG,
ULCERAB 20MG TABLET ,BIOCEUTICS INC ,Rabeprazole 20 MG,
ULCIRAB 20MG TABLET ,GATES INDIA ,Rabeprazole 20 MG,
ULCIPAK TABLET ,CROSSED FINGERSS ORGANIC PVT LTD ,Rabeprazole 20 MG,
ULCIPIL 20MG TABLET ,GENOME THERAPEUTICS ,Rabeprazole 20 MG,
UNIRAB 20MG TABLET ,UNITED BIOTECH PVT LTD ,Rabeprazole 20 MG,
TADAP 20MG TABLET ,MAC REMEDIES LTD ,Rabeprazole 20 MG,
TASZOL 20MG TABLET ,ERINOME HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
THEMIKOOL 20MG TABLET ,THEMIS MEDICARE ,Rabeprazole 20 MG,
TOLERAB 20MG TABLET ,CONVERGE BIOTECH ,Rabeprazole 20 MG,
TOMDIK 20MG TABLET ,OSWIN ,Rabeprazole 20 MG,
TRAPCID 20MG TABLET ,SAIMIRA ,Rabeprazole 20 MG,
 TROZY 20MG TABLET ,ALTAR PHARMA ,Rabeprazole 20 MG,
VALUE TABLET ,ABBOTT ,Rabeprazole 20 MG,
VAREB 20MG TABLET ,ZOTA HEALTH CARE LTD ,Rabeprazole 20 MG,
VELOZ 20MG TABLET ,TORRENT ,Rabeprazole 20 MG,
VENORAB 20MG TABLET ,VENUS REMEDIES ,Rabeprazole 20 MG,
VENTRAB 20MG TABLET ,PANVENTRIC PHARMA ,Rabeprazole 20 MG,
VENTO 20 MG TABLET ,CUREWEL PHARMA ,Rabeprazole 20 MG,
VERAB 20MG TABLET ,ZEE LABORATORIES LTD ,Rabeprazole 20 MG,
VEROCID 20MG TABLET ,VARROC LIFESCIENCES ,Rabeprazole 20 MG,
VORAB 20MG TABLET ,VENECIA HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
V RABEZ 20MG TABLET ,VOYAGER PHARMATECH ,Rabeprazole 20 MG,
WALRAB 20MG TABLET ,ROBIN PHARMA ,Rabeprazole 20 MG,
WOWRAB 20MG TABLET ,LUPIN LTD ,Rabeprazole 20 MG,
WYRAB 20MG TABLET ,YACCA ,Rabeprazole 20 MG,
XYZID 20MG TABLET ,BIOSS HEALTHCARE ,Rabeprazole 20 MG,
YERAB 20MG TABLET ,YEW BIOTECH ,Rabeprazole 20 MG,
ZABEE 20MG TABLET ,MEDOK LIFESCIENCES PVT LTD ,Rabeprazole 20 MG,
ZABETAC 20MG TABLET ,PEGASUS FARMACO ,Rabeprazole 20 MG,
ZADORAB 20MG TABLET ,CANVARZYS PHARMA ,Rabeprazole 20 MG,
ZARATE 20 TABLET ,PFIZER LIMITED ,Rabeprazole 20 MG,
 ZEBRA 20MG CAPSULE ,MEDISPAN ,Rabeprazole 20 MG,
ZEN PRAZOLE 20MG TABLET ,GLENMARK PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
ZEN RABIZ 20MG TABLET ,KAIZEN RESEARCH LABS INDIA PVT LTD ,Rabeprazole 20 MG,
ZIGARAB 20MG TABLET ,TULIP ,Rabeprazole 20 MG,
ZINIRAB 20MG TABLET ,ZINNIA PHARMA ,Rabeprazole 20 MG,
ZN 20MG TABLET ,WALLACE ,Rabeprazole 20 MG,
ZOLHEAL 20MG CAPSULE ,HAEAL PHARMA ,Rabeprazole 20 MG,
ZOLOPEP 20MG TABLET ,INDOCO REMEDIES LTD ,Rabeprazole 20 MG,
ZOLOZ 20MG TABLET ,ABODE DRUGS ,Rabeprazole 20 MG,
ZOOL 20MG TABLET ,KIVI LABS ,Rabeprazole 20 MG,
ZOLERAB 20MG TABLET ,MEDICHEM PHARMA ,Rabeprazole 20 MG,
ZORAB 20MG TABLET ,PHOENIX PHARMA ,Rabeprazole 20 MG,
ZOR 20MG TABLET ,DECCAN HEALTHCARE ,Rabeprazole 20 MG,
ZOYRAB 20MG TABLET ,NILRISE PHARMA ,Rabeprazole 20 MG,
AIITREX 25MG TABLET ,NAPROD LIFE SCIENCES PVT LTD ,Methotrexate 25 MG,
CADITREX 25MG TABLET ,CADILA PHARMACEUTICALS LTD ,Methotrexate 25 MG,
FOLITRAX 25MG TABLET ,IPCA LABORATORIES LTD ,Methotrexate 25 MG,
DEPAR 150MG TABLET ,ORNATE PHARMA ,Levamisole 150 MG,
DEWORMIS 150MG TABLET ,GLAXO ,Levamisole 150 MG,
DICARIS ADULT 150MG TABLET ,J & J ,Levamisole 150 MG,
ELSEAL 150MG TABLET ,ORGANIC LAB ,Levamisole 150 MG,
I CARIS 150MG TABLET ,ICEBERG HEALTHCARE PVT LTD ,Levamisole 150 MG,
LEVA 150MG TABLET ,MDC PHARMACEUTICALS ,Levamisole 150 MG,
LEVORUT 150MG TABLET ,TRUMAC HEALTHCARE ,Levamisole 150 MG,
LEVOTAB 150MG TABLET ,EAST WEST PHARMA ,Levamisole 150 MG,
OLCARIS 150MG TABLET ,OLCARE LABORATORIES ,Levamisole 150 MG,
VAPAL 150MG TABLET ,ROWAN BIOCEUTICALS PVT LTD ,Levamisole 150 MG,
VERMISOL 150MG TABLET ,KHANDELWAL LABORATORIES PVT LTD ,Levamisole 150 MG,
VITILEX 150MG TABLET ,GLOWDERMA ,Levamisole 150 MG,
VT CURE 150MG TABLET ,CURE N CURE PHARMA ,Levamisole 150 MG,
CULET 2.5MG TABLET ,CUREILL PHARMA ,Letrozole 2.5 MG,
FERTOLET 2.5MG TABLET ,CIPLA ,Letrozole 2.5 MG,
FERTLET 2.5MG TABLET ,WEST COAST PHARMA ,Letrozole 2.5 MG,
FOLIRIPE TABLET ,ALEMBIC PHARMACEUTICALS LTD ,Letrozole 2.5 MG,
E OVAL 2.5MG CAPSULE ,KOYE PHARMACEUTICALS PVT LTD ,Letrozole 2.5 MG,
E OVA L 2.5MG TABLET ,KOYE PHARMACEUTICALS PVT LTD ,Letrozole 2.5 MG,
FABOVA 2.5MG TABLET ,ALKEM LABORATORIES LTD ,Letrozole 2.5 MG,
FEMARA 2.5MG TABLET ,NOVARTIS ,Letrozole 2.5 MG,
FEMERA 2.5MG TABLET ,NOVARTIS ,Letrozole 2.5 MG,
FEMPRO TABLET ,CIPLA ,Letrozole 2.5 MG,
FEOFER 2.5MG TABLET ,WISEFEMY ,Letrozole 2.5 MG,
BESTOVA L 2.5MG TABLET ,AKUMENTIS HEALTHCARE LTD ,Letrozole 2.5 MG,
CADITRAZ TABLET ,CADILA PHARMACEUTICALS LTD ,Letrozole 2.5 MG,
ANOLET TABLET ,SVIZERA HEALTHCARE ,Letrozole 2.5 MG,
ANOLET 2.5MG TABLET ,SVIZERA HEALTHCARE ,Letrozole 2.5 MG,
ANZEN 2.5MG TABLET ,SANZYME LTD ,Letrozole 2.5 MG,
AROLET 2.5MG TABLET ,ESTRAGEN PHARMA ,Letrozole 2.5 MG,
CCQ L 2.5MG TABLET ,TTK ,Letrozole 2.5 MG,
CELOFEM 2.5MG TABLET ,CELON LABS ,Letrozole 2.5 MG,
CHEMLET 2.5MG TABLET ,NEON ,Letrozole 2.5 MG,
 CLOMIPURE L 2.5MG TABLET ,AKUMENTIS HEALTHCARE LTD ,Letrozole 2.5 MG,
CLOMSET L 2.5MG TABLET ,DAHLIA ,Letrozole 2.5 MG,
GOODOVA L TABLET ,AKUMENTIS HEALTHCARE LTD ,Letrozole 2.5 MG,
GREATLET 2.5MG TABLET ,XENO LIFE SCIENCE PVT LTD ,Letrozole 2.5 MG,
HERHOPE TABLET ,TORRENT ,Letrozole 2.5 MG,
INDUKT TABLET ,WAN BURRY ,Letrozole 2.5 MG,
INDUZ CAPSULE ,EMCURE PHARMACEUTICALS LTD ,Letrozole 2.5 MG,
LETALL 2.5MG TABLET ,INTAS PHARMACEUTICALS LTD ,Letrozole 2.5 MG,
LETERO 2.5MG TABLET ,HETERO HEALTHCARE LIMITED ,Letrozole 2.5 MG,
LETEROL 2.5MG TABLET ,AXIOM THERAPEUTICS PVT LTD ,Letrozole 2.5 MG,
LETISHA 2.5MG TABLET ,GERMAN REMEDIES ,Letrozole 2.5 MG,
LETOVAL 2.5MG TABLET ,SUN PHARMACEUTICAL INDUSTRIES LTD ,Letrozole 2.5 MG,
